title,url,amount,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7
Opening IRS Nonprofit Tax Returns,http://newschallenge.tumblr.com/post/25545821455/opening-irs-nonprofit-tax-returns,0,"Put 10 years of IRS Form 990, 990-PF, and 990T online in bulk, extract 75 million fields of data.","Today, nonprofit returns are not available in bulk on the net. And, if you buy the 2,000 DVDs, you get a bunch of unusable TIFF files. We’ll put the core returns into PDF documents and extract useful, computable data for a significant subset of the corpus.","We have 5 years of the corpus already online, but nobody has extracted fields to make the data computable. Guidestar has a service, but it is in a walled garden.",We’ve shown we can put the core data online and have released that code. We’re experts at hosting large databases and our marketing efforts will be aimed at hard-core developers all over the country who will use this data. Our sub for the data extraction has technology that is in full production and has convinced hard-nosed investors and Public.Resource.Org that they are for real and are a going concern that can do their piece on schedule.,"Prime on this bid is Public.Resource.Org. We’ll do marketing, the core data build, and host the data. Our sub is Captricity.Com, an award-winning startup which will do the data extraction.  Captricity’s technology is based on CEO Dr. Kuang Chen’s Ph.D. in Computer Science from Berkeley.","We have processed 5 years of form 990s and released our code in open source at http://bulk.resource.org/irs.gov/eo2/ We have ordered the rest of the DVDs from the IRS. Captricity’s form processing and image recognition is in full production, though they are going to do some R&D to handle some of the custom aspects of this job.","$100,000 or $200,000 to Public.Resource.Org for marketing, developer relations, and core data, $400,000 to Captricity to extract 75 million fields in 12 months.",We will seek additional funds from other foundations to finish the corpus and then browbeat the government to take the data and service over.
Civic Knowledge: Public Data Warehouse for Civic Analysis,http://newschallenge.tumblr.com/post/25545819824/civic-knowledge-public-data-warehouse-for-civic,425,Use conventional data warehouse practices to simplify analysis of public data and make analysis sharable for journalists and civic organizations.,"Civic Knowledge models data for analysis by applying standard business intelligence techniques. Datasets are linked, so users can make queries across sets. Civic Knowledge offers a relational database interface and a shared drive of CSV files, so users can use familiar tools like Excel, R, Tableau or other reporting tools. ","Current data repositories offer data as CSV downloads. Data sets are not linked, and users must do additional work to import data into a database. Public data-warehouse access is unique.","We are applying database techniques that the business world has been developing for the last 40 years so there is no process risk. Using commercial software provided by partners eliminates technology risk. We are are developing the product with the input of demanding data users – investigative journalists – so there is little product risk. We are using business models that have proven to work by companies like Lexis Nexis, Thompson-Reuters, Westlaw and Corelogic,  but in new markets and with increased operational efficiency, so there is little market risk. ","Clarinova and Investigative Newsource have initiated the project, and we are negotiating with data warehouse providers for sponsorship, data scientists and data providers for consulting help, and investigative journalist groups to participate in development. We are very open to working with other groups and projects.  http://www.civicknowledge.org/","We are developing the data package format (http://clarinova.com/bundles) and have conducted over 20 interviews with journalists and data scientists to develop the product. The project concept is complete, and we are negotiating with commercial data warehouse and business intelligence companies to donate much of  the software. ","Clarinova will develop the Open Source code base, so Knight funds would support: requirements analysis among journalists, identifying and acquiring public data of interest to journalists,  data modeling and cleaning data. The Knight grant would ensure the warehouse directly meets journalists’ needs. ","The project, when deployed for data repositories like TRACFed or NICAR, will generate usage fees to cover operational costs. Clarinova will provide continued software support under a commercial Open Source model, with customers of premium versions of the software supporting continued development of the free Open Source versions. "
Texas Tribune Public School Finance,http://newschallenge.tumblr.com/post/25545817906/texas-tribune-public-school-finance,42869,We intend to build an interactive tool for exploring the way that cash-strapped Texas school districts receive their funding.,"Texas schools receive funding from a variety of intertwined federal and state sources, and through tax scenarios that benefit some districts at the expense of others. Providing citizens with visualizations that allow them to change various inputs and see their effects will promote better civic engagement in determining education funding.","The Texas Education Agency and individual school districts keep financial records, but there is no tool for the public to understand how various tax and spending formulas affect classroom funding.","The Texas Tribune is already well known for its data applications, building the most extensive campaign finance, lobbying and employee salary applications in Texas. Two additional tools — our public schools and higher education apps — will launch this summer. As a trusted source of public education news statewide, we already have an interested and engaged audience. Our technology and reporting teams have relationships with experts in the public and private sectors who are intimately familiar with the pitfalls — and promise — of Texas’ school finance system. We must also bring understanding of this incredibly complex process to average citizens.","The Tribune’s crackerjack team of developers and programmers, our design team, our data reporters and our education reporters — a total of about 4 people — would be responsible for compiling the data, building the application, incorporating design features and planning editorial content around the launch of the tool. The Tribune would also partner with a school finance consulting firm to assist with records procurement and analysis, and interpretation of the statutes and tax policies involved.",We have a public education application under development that incorporates some basic data from the Texas Education Agency around school funding. We also built an interactive budget shortfall tool during the last session that allowed readers to change inputs and produce different funding outcomes. Those two tools combined will serve as the baseline — but our app would be much more labor intensive and complex.,"We will use Knight Data Challenge funds to offset our in-house programming and design expenses, procure school finance and property tax records from state agencies, and pay outside consultants to assist us in understanding and building strong models for how schools are funded.","We will provide annual updates to records, and seeking funding from major and sustaining donors to update the interactive as laws and taxes change. We will continue to use the app as a reporting tool for articles in the Tribune and partner news outlets, including The New York Times."
"When You Post Online, You Post to the World",http://newschallenge.tumblr.com/post/25545815665/when-you-post-online-you-post-to-the-world,325000,,,,,,,,
Texas Tribune Legislative Video & Transcripts Platform,http://newschallenge.tumblr.com/post/25545813359/texas-tribune-legislative-video-transcripts-platform,642121,"We will create a visual, interactive platform to link readers to video and transcripts of the Texas Legislature in action.","We’ll collect live video and transcripts for every moment of the legislative session, and develop techniques to search and visualize them. Our video channels and archive tools will help everyone from average citizens to policy groups engage in obscure political processes and understand how decisions are made behind the scenes.","Currently, videos and transcripts documenting the Legislature are inaccessible. Our platform will allow users to livestream multiple channels at once, search transcripts and videos by term, and graph word frequency.","Our interactive platform will create far greater transparency in Texas’ legislative process. Today, citizens can’t livestream multiple hearings or watch both chambers in action at once. If they miss a key moment, they can’t go back and revisit it. Our tool will allow users to alternate between live video channels, and use keyword searches to review transcripts and archived footage later. It will be simple enough for the average citizen, and complex enough to provide analysis for more experienced public policy users. By making lawmakers’ actions more transparent, it will spur additional news coverage of political developments and lawmaker conflicts.","The Tribune’s technology team will develop the programming platform for the interactive and for the live video channels. The Trib’s design team will oversee the look of the interactive to ensure it is visually engaging and user-friendly. The Tribune’s multimedia producers will install livestreaming and recording equipment in each of the legislative committee hearing rooms, and pitch video tutorials on how to use the interactive. We will contract with a team of court reporters to transcribe the daily videos into searchable text.","During the 2011 Legislature, the Tribune broadcast key debates in real time, livestreaming either the House or Senate, but never both at once. We also received funding to record hundreds of hours of transcripts of House and Senate floor debate, and used those to create the “Visualizing Days of Debate” series, which graphed the frequency of keywords to map when major debates occurred. Those concepts serve as the foundation for this project, which provides enhanced video access to public debates and hearings via multiple channels, and adds interactivity so users can search archived transcripts and videos for key words.","The Texas Tribune would use News Challenge funds to purchase equipment necessary for capturing and archiving live video streams, pay for court-reporting services for legislative transcripts, and cover developer time to build both the searchable interactive and the video channels.","Once the initial technology costs are covered, the project will largely sustain itself. The only cost that needs to be accounted for year after year is the transcription, and with seed money to kickstart the project, the Tribune would be in a position to find future donors for those services."
Repairing the Broken Feedback Between Emerging Donors and their Intended Beneficiaries,http://newschallenge.tumblr.com/post/25545799758/repairing-the-broken-feedback-between-emerging-donors,0,"Document, geo-reference, and facilitate investigative reporting on projects funded by donors that do not participate in the aid transparency regime.","By conducting investigative journalism and amplifying the voices of beneficiary communities through a web-based data visualization platform, the proposed project has the potential to revolutionize the way in which under-performing aid projects are identified, improved, and replaced—bringing better and more effective assistance to low-income individuals and communities.  ","We will collect, geo-reference, disseminate, and visualize the project-level data that emerging donors like China, Russia, Venezuela, Iran, and Saudi Arabia do not disclose. This has never been attempted.","In the first quarter 2012, we established “proof of concept” that our media-based data collection methodology is a viable way to gather project-level aid information from donors who are unwilling to disclose sensitive financial information. We will make the data understandable for stakeholders by providing user-friendly mapping tools and visualizations at www.aiddata.org. These data will equip journalists, CSOs, and other local stakeholders with the information needed to sound the alarm when project results differ from what donors promised, effectively closing the feedback loop.","AidData’s Co-Executive Directors are currently overseeing a team of 12 student research assistants to create a comprehensive database of Chinese development finance flows to Sub-Saharan Africa from 2000-2011. AidData staff have also created a geo-coding methodology and toolkit that make it possible to (a) identify the precise latitude and longitude coordinates of these projects, and (b) visualize the spatial distribution of Chinese development finance. If we secure external funds, Global Integrity has agreed to work with a network of investigative journalists to collect timely, on-the-ground information about the status, performance and impact of these aid projects.","We have already developed a systematic media-based methodology to collect project-level development finance information. A team of experienced research assistants is in place to gather data using this methodology. We have also created dynamic online mapping platforms that enable users to overlay, correlate, visualize, and make sense of enormous amounts of heterogeneously-generated, granular data. For example, we recently introduced Development Loop, which enables users to see the locations of geocoded projects in relation to provincial- and district-level social, economic, and demographic data. GlobalGiving’s stories project is another optional map layer, which provides local information from surveys conducted among aid beneficiaries.","The College of William and Mary and Brigham Young University would use the funds to compensate student research assistants and a project manager for time spent collecting project-level aid data using our media-based methodology. Development Gateway would design, implement, and manage the growth of the web-based visualization platform. Global Integrity would support investigative journalists in Africa with a demonstrated interest in and ability to collect project-level performance data.","AidData and Global Integrity have a strong record of mobilizing funds from foundations, governments, and international organizations to support research and innovation activities. We are committed to raising $25,000 a year after the initial grant period to ensure that the data are updated and the web platform is maintained."
API helps news sites deliver smarter content to readers,http://newschallenge.tumblr.com/post/25545798215/api-helps-news-sites-deliver-smarter-content-to-readers,,Create an API that allows news sites to tap into our custom ontology to add rich semantic data to content.,"Our project automatically categorizes articles into very specific subject areas. Sites will be able to sort and give the exact content that readers want, maximizing its value and reach. Readers will then be able to find stories on topics of interest without having to sort through thousands of search returns. ",Our rule based classification system uses an ontology created by journalists to classify news content. It is more accurate than existing systems and accounts for regional language differences.,"News groups seek manual keyword tagging alternatives that are deeper, consistent and more accurate. Many have investigated programmatic solutions, but those come with high costs and often yield poor results.   We’ve invested three years and millions in a system that will greatly enhance the content of our 600+ contributors. It lets them: —push content to tablet/mobile users based on customizable profiles; —relate stories to keep readers engaged and create more connected links for SEO; and —power their internal search engines to filter results for readers.   We plan development of a delivery system that requires little user effort.","A team of 10 editors is building the ontology that powers this ability to discover the “aboutness” of stories. As journalists, they understand how words work together and how their colleagues write news stories. We will continue to build the ontology and take input from outside journalists. If enough news sites use this markup, we will begin to see a standard classification emerge for news stories, making it easier for consumers to search across sites. In addition, our five-person IT staff has built, and continues to refine, custom software to apply the ontology to copy from any newspaper.","We have developed about half of the ontology, and we are already using custom-built software to send 150,000 stories a month through our system to create a product we call SmartContent. We sell this product to clients who are interested in niche news, so we have had commercial success with it. Now we would like to share this XML markup – and, by extension, its success – with all news sites. MCT’s 600+ contributors could use the API for only an initial setup fee; non-contributors would pay a one-time setup fee and an annual subscription fee. ",We would use the funds to hire:  —an outside firm to build the API.  —an outside firm to educate customers on the advantages of using the API and to market and distribute it customers. —additional editors to speed the ontology-building process. ,"Our IT department would work with API developers to learn how the API is built so they could support it. Revenue from setup fees, subscriptions and our SmartContent product would keep the project viable financially, and our strong brand among newspapers will help us implement the project among them."
"Personal online news reading behavior profile with reading speeds on different sites, read-through rates, topics of interest and favorite authors built automatically using Scoopinion reading behavior data",http://newschallenge.tumblr.com/post/25545796513/personal-online-news-reading-behavior-profile-with,156,"To open and visualize individual readers’ online news reading behavior. To do this, we create a profile page using readers’ data from Scoopinion.","Readers are already tracked in online media. But they lack access to their own data.  Opening Scoopinion reading behavior data (reading behavior, authors, sites and topics and so on) empowers readers to understand the sphere of their news reading and reveals filter bubbles and hidden interest areas. Screenshots from prototype visualization of my data: Check out the whole visualization by data journalist Jens Finnäs.","Although there are some ways to visualize and make sense to your browsing history, there is no other way of learning about your reading behavior and actual exposure heatmaps in online news. ","Data is a tool for self-reflection. Scoopinion data reveals to a user her influencers and interests. The data answers to questions such as Who sets your reading agenda? Are there gaps in your knowledge? What do you read compared to your peers? Making the reading data transparent empowers readers to reflect their reading habits. Scoopinion uses Chrome/Firefox plugin to track reading paths, speeds and patterns on whitelisted websites. User doesn’t have to do anything but read: the reading is tracked automatically. The reading behavior profile is constructed based on the reading habit data.","We are a five member team, which won the biggest nordic media innovation competition #Uutisraivaaja and got a 250 000 euro grant to develop Scoopinion. Johannes Koponen has a background in media futures studies, media and communication research, product development and IT intensive businesses. He co-founded HacksHackersHelsinki. Mikael Koponen masters frontend programming. Mikko Koskinen is the CEO. He is experienced in product development and design. Juha Leppänen investigates social innovation, his background being in social sciences and journalism. Ville Sundberg is the programming and UX wizard. Ville makes technology “just work”. Contact information  Additional talent is needed to complete this project (see answer 7).","Scoopinion.com browser application follows its users reading behavior (scrolling speed, patterns, paths) on hundreds of news sites. We use the data to aggregate feature stories that are read most well at Scoopinion.com. At the moment, users lack access and ability to control their data. We want to provide them this possibility. Reading behavior information is used to aggregate stories that are guaranteed to be good reads on the Scoopinion website and on a twice-a-week email digest. Scoopinion feed is fully functional. It constantly enjoys extremely positive customer feedback. Check this recent story about us. ","$96000 for salaries for six months to create an editable profile page; visualized, reasonable data pool; and open API: designer, data journalist, frontend programmer, tracking and database operations programmer,  $60000 for arranging hackatons to stream through uses for the data and for travelling to conferences.","We are NOT going to sell the personal data to third parties. Instead, we are going to sell anonymized reading habits of the crowd. With Scoopinion data, we are able to tell both advertisers and content producers what price they should have gotten/paid for a (impression) brand advertisement."
Nyopoly - Price is personal.,http://newschallenge.tumblr.com/post/25545795046/nyopoly-price-is-personal,500000,"We propose collecting consumer sourced pricing data, via an ecommerce marketplace, which allows shoppers to name their price on goods.","We will analyze our consumer-sourced data, producing actionable insights for retailers. These insights will enable retailers determine best starting posted price points and smart markdown schedules. In addition, these insights will enable a merchant to personalize offers at the individual level, maximizing every transaction.","Currently, retailers rely on product wholesale cost, historic sales information, and competition pricing to set price en masse. What they do not have is customer-sourced consumer willingness data/valuation data.","Retailers will now have another dimension for their pricing data, which will only make them smarter, both at the broad demographic with links to social profiles, but also at the individual level. Including this data as a factor, will allow a retailer to set prices with a higher level of confidence, eliminating the dartboard approach many large (even with pricing optimization) and small use.","The team is made up of the following individuals: Shawn J. Harris Shawn’s passion rests in Internet and brick-and-mortar retail technology, operations, and experiences. Shawn earned his MBA from Babson College, and a bachelor’s degree in management information systems from the University of Massachusetts. http://www.linkedin.com/in/shawnharris Tak-Sang Chan Tak-Sang’s passion is all about building technology solution to achieve business goals. Prior to joining Nyopoly, he was VP of Engineering at Upromise, one of the most successful loyalty-marketing companies in the Country. Originally from Hong Kong, Tak-Sang received his doctorate in mechanical engineering from Northwestern University in Evanston, Illinois. http://www.linkedin.com/in/taksangchan Joe Shartzer Joe’s background lies in marketing and consulting, with a passion for social media. He’s worked with companies across the country, and has traveled throughout Europe. Joe earned his bachelor’s degree in marketing and management from the Whittemore School of Business and Economics at the University of New Hampshire. http://www.linkedin.com/in/joeshartzer","We have a functional ecommerce marketplace web site [www.nyopoly.com], which we are currently enhancing based on recent usability testing. In addition, we have 10 Boston-area partner merchants contracted to participate, and 2,500+ local consumers registered pre-launch. Currently in a soft launch with merchant first use targeted for mid-July. We have a database schema that accounts for all of the values we need to collect, and have started collecting data. Our next step would be to build out the merchant back-end to include reports and analytics.","We would use the funds to add engineers, and sales and merchandising professionals.","We are actively fundraising talking with Angels, VC’s, and various accelerator programs. Also, the nature of our model is revenue generating, so we will use that to sustain as well."
Releasing trapped knowledge to improve water services for the urban poor: WASH SMS,http://newschallenge.tumblr.com/post/25545792231/releasing-trapped-knowledge-to-improve-water-services,400000,Enable the urban poor to use mobile phones to collect and share data that compels improvements in their water services.,"WASH SMS allows the urban poor to share data on issues such as lack of service, groundwater supplies, and water quality. This data is then compiled and released through individualized data driven dashboards for each stakeholder that are accessible and actionable by utilities, governments, funding agencies, NGOs and the media.","WASH SMS was designed by users, ensures information is publicly displayed and accessible in individualized dashboards, uses technology accessible to the poor, and ensures that data leads to demonstrable change.","Information to compel better governance and planning in the urban water sector is sorely lacking. The urban poor lack water and sanitation yet often have a mobile phone. In developing country cities, the urban poor wake up not knowing where they’ll get water or use a toilet; utilities don’t have information on water sources and needs; and governments and aid organizations lack information to compel better services. WASH SMS creates crowd-sourced data in the form of maps and reports for transparency and bottom-up accountability to improve service delivery, responsiveness, and planning for future vulnerabilities due to disasters and climate change.","WASH SMS is being developed by an international network of partners. Pacific Institute (www.pacinst.org) works to meet basic human and environmental needs in water and sanitation. Nexleaf Analytics (www.nexleaf.org) develops mobile phone solutions for the environment and public health. Local NGOs ensure community involvement, system relevancy, and technical sustainability. In Indonesia, we are partnering with PATTIRO (www.pattiro.org) to address water resource and service issues.  In India, we are partnering with Transparent Chennai (www.transparentchennai.com) to address urban sanitation challenges. In each location, from the beginning we partner directly with affected stakeholders and communities to develop the systems.","The open-source WASH SMS system is currently being developed through pilot projects in two Indonesian cities. We’ve conducted comprehensive learning sessions with urban poor communities, water utilities, government agencies, informal water providers, NGOs, and the media to define priority issues, information needs, and input and display formats. We’ve demonstrated the Alpha version in a Multi-Stakeholder Dialogue and gained feedback on system interactions and display preferences. We are now developing the Beta version, with customized dashboards and complementary offline operational procedures, through three rounds of testing before the public pilot launch in early 2013. Our partnerships with utilities will ensure that the data leads to change.","News Challenge funds are critical to develop partnerships with local and international media organizations to use and report on data generated in the system, scale up to other countries (current funding is limited to Indonesia), and develop replicable open source code for other urban services issues.","Working with ICT and governance experts we’re developing a multi-faceted sustainability plan: Indonesian community, WASH and technical organizations will partner to take ownership of and maintain the system; utilities or local governments will financially support the system; and urban poor residents have demonstrated willingness to pay for messaging costs."
LocalHealthData.org,http://newschallenge.tumblr.com/post/25545790979/localhealthdata-org,265000,"To increase the amount of relevant, diverse, accessible and actionable health data for communities through our online tool — LocalHealthData.org.","LocalHealthData.org provides user-friendly access to local health data from 70+ sources and 300+ datasets.  Data analytic skills unnecessary!  Adding more locally relevant data and data from other racial/ethnic groups would help communities, journalists, and policymakers increase public awareness of health issues and, ultimately, create healthier communities. ","Compared to other data repositories, LocalHealthData.org presents data in a more accessible and understandable format.  Our project will expand the diversity of race/ethnicity- and location-specific data which is currently lacking.","Openly available health data exist, but are often hard to find and understand.  In a recent survey with nearly 70 health journalists, 88% said they needed the most help in finding health data/statistics for their stories.  LocalHealthData.org reduces this burden and increases efficiency by aggregating dozens of the most trusted health data sources and providing easy-to-find data about specific states and communities.  These data are more locally relevant, thus more meaningful and useful to communities.  Greater public awareness could mean more collective action and activity around health.  In the past year, LocalHealthData.org users represented 37 countries and 48 states. ","Our highly qualified, multidisciplinary development team from the Health Communication Research Laboratory at Washington University in St. Louis (http://hcrl.wustl.edu) includes: a journalist, computer programmer, graphic designers, data manager, health communication experts, and graduate students in public health and social work.  Some of us have collaborated together on similar projects for over 10 years.  For 16 years, our Center has focused on new technologies and methods to connect Americans with information and services that can help improve the public’s health, including how to maximize the community impact and improve the visualization of health data.","We launched LocalHealthData.org in June 2011 as a free tool designed for journalists and other communication specialists to create locally relevant health stories. To date, LocalHealthData.org has aggregated 300+ datasets from 70+ sources, representing 40 different health conditions.  We built LocalHealthData.org with the ability to add new datasets, including the proposed expansion of community- and ZIP code-level datasets for Black and Hispanic populations.  We have an established process and protocol for identifying new datasets and assessing their fit with LocalHealthData.org; downloading, mining and cleaning the data; formatting the data into our pre-existing database structure; and adding the data to LocalHealthData.org.","We would use the funds to build relationships with new data sources and partner with community stakeholders from across the country in order to identify new datasets containing community- or ZIP code-level data, and for personnel time to download, format and add the new datasets to LocalHealthData.org.  ","We’re considering various options.  One is to explore having news wires and/or journalist organizations host LocalHealthData.org.  A second is to work with regional or national health organizations for collaboration and adoption of advanced features, including hosting local data for communities to access.  Last, we will seek out sponsorships and advertisements.  "
Prevent diseases by reducing pathogen dispersion ,http://newschallenge.tumblr.com/post/25545789683/prevent-diseases-by-reducing-pathogen-dispersion,0,Prevent diseases by reducing pathogen dispersion and controlling their means of reproduction.  Citizens should be informed about the means of disease transmission in their communities and the suitable measures that should be taken in order to prevent them from spreading. ,"·      It gives new insights about which pathogens are present in drain systems, their reproduction indexes and the diseases they lead to. ·      It generates statistical information regarding drug consumption related to spreadable diseases. ·      It will provide a database of patients treated for these diseases in health centers.","It presents the relationship between pathogen origins, the diseases they generate, treated patients and drug consumption for each designated region.· ","There is a need for greater disease prevention and control in general, a demand for the causes that affect the health budget, an obligation to take better care of vulnerable individuals and a greater sense of responsibility in preventing the dispersion of pathogens between patients as well as in the entire health system.",Guillermo Garza Milling Rafael Mares Paul Hamel,We are working in a complimentary project in order to place disinfectant dosage devices in suitable areas in order to contain pathogen reproduction below controllable limits,·      Methodology design. ·      Introduction to health specialists. ·      Design of the sample taking apparatus. ·      Personnel training for sample taking. ·      Lab tests. ·      Result analysis. ·      Displaying information to strategic collaborators. ·      Activity strategy and planning.,"Once the benefit has been proved in each region, the benefited health system will manage the project with the help of the community it directly aids."
Do you want to start a new business? Get some advice from the real experts: Tax Administrations,http://newschallenge.tumblr.com/post/25545787968/do-you-want-to-start-a-new-business-get-some-advice,500,  Use data from tax administrations across Europe for a web based map at street level with information for new businesses,  Statistical information about businesses across Europe is not available for entrepreneurship. Tax administrations have the knowledge before hand of when a business or a shop is going to be successful based on similar initiatives in similar locations. We want to share it at street level in a web based map.,  Actual databases of new businesses across Europe are shown and designed only for macro economical studies. No geolocation available. ,"  In Spain, 25% of new businesses close in the first year, and 50% in the first five years (last study 2009). Tax agents with experience can tell you many examples of bad located shops and businesses. We consider that making that information available to public and entrepreneurship at street level will help the survival chances. A decrease of 5% of the decease level will have a real impact in the Spanish and European economy. This information can be useful for fighting fraud as well.","  At this moment it is only a 2 weeks old project. Working on it there are 2 persons: Santiago Segarra, ex Chief Technical Officer at the Spanish Tax Agency (www.aeat.es), and Ángel González, ex Head of Communications at the Spanish Tax Agency.",  Nothing.,"To hire software developers, web designers, data mining across Europe, legal advice and promotion of a beta project as soon as possible.","  Sponsoring by public administrations, foundations or business schools."
test from robbie please call me NOW,http://newschallenge.tumblr.com/post/25545762326/test-from-robbie-please-call-me-now,100000,test the system please call me now,test the system please call me now,test the system please call me now,test the system please call me now,test the system please call me now,test the system please call me now,test the system please call me now,test the system please call me now
Texas Tribune Healthcare Data App,http://newschallenge.tumblr.com/post/25545760777/texas-tribune-healthcare-data-app,275190,We intend to build Texas’ most comprehensive cross-platform healthcare data application to track hospital and physician safety and quality.,"The Tribune mobile medical app will allow the public to sidestep onerous state agencies, insurance companies, and costly and expensive records requests to access a user-friendly, open repository of previously hard-to-decipher hospital and doctor records — everything from physician disciplinary histories to readmission and infection rates at Texas medical centers.","There’s no app that combines these datasets. Hospital records are public, but are prohibitively costly for news organizations. Doctor disciplinary records exist online, but are unintelligible for the average patient.  ","The Tribune is already well known for its data applications, building the most extensive campaign finance, lobbying and employee salary applications in Texas. Two additional tools — our public schools and higher education apps — will launch this summer. The mobile medical application will give consumers easy access to information they need to make educated decisions, from which hospitals they choose for surgeries or emergencies to who provides their primary or specialty care. Using physician disciplinary records, inpatient hospital statistics, and infection and readmission reports, we’ll provide hospital scorecards and doctor profiles, and map the locations of healthcare facilities statewide.  ","The Tribune’s crackerjack team of developers and programmers, our design team, our data reporters and our health care reporters — a total of about 6 people — would be responsible for compiling the data, building the application, incorporating design features and planning editorial content around the launch of the tool. The Tribune would also partner with a healthcare consulting firm to assist with records procurement and analysis, and interpretation of complex sets of records.","We have a general framework for the application built, because we can use the skeleton of the public and private education apps and scorecards we intend to roll out later this year. We have not yet procured the medical data (a costly endeavor) — and we would have to create original design features specific to the healthcare app. We would also have to build the mobile side of the application, but not from scratch: we expect to have a framework for that built for our education apps by late fall. ","We will use Knight Data Challenge funds to offset our in-house and mobile programming and design expenses, procure hospital and doctor records from state agencies, and pay outside consultants to analyze complicated datasets and determine what factors to include and interpret on consumer scorecards.  ","We will sustain the project by providing annual updates to records, and seeking additional funding from major and sustaining donors to roll out enhanced features. We will continue to use the app as a reporting tool for articles in the Tribune and partner news outlets, including The New York Times."
Forging Data Pathways: From the Amazon to WikiData,http://newschallenge.tumblr.com/post/25545758085/forging-data-pathways-from-the-amazon-to-wikidata,250000,Build and organize a local media-sourced dataset about the Amazon rainforest for use in WikiData’s semantic data search engine.,"This project provides a technological means to gather, verify and distribute hyper-local data sets. Data consumers quickly get answers about the Amazon’s conditions based on media-verified data. Journalists become recognized as reliable data sources in addition to trusted news sources. Overall, data is democratized by legitimizing small and locally-focused data.   ",Investing in alternative data mechanisms circumvents Big Data gatekeepers.  We will transform the relationship between data producers and consumers by connecting WikiMedia Foundation’s WikiData with journalists in the field,"A robust, easy-to-use system to curate large amounts of locally-gather data will enrich InfoAmazonia, a data portal for geolocated news that illustrates the relationship between data and journalism, and auto-populate WikiData, a global repository of data that aspires to become a smart database search tool. We are charting a path for data to flow from the local level up to regional and global platforms. This project includes participants from every stage in the process, from collection and verification to analysis and distribution.","Internews, and its Earth Journalism Network, is a media development organization experienced in creating and supporting regional and thematic information portals including OpenOil, Nai and Deriban that explore stories and data. OpenOil has established a partnership with the WikiMedia Foundation, which is currently developing the WikiData platform, to pilot the data entry system and pass that knowledge on to InfoAmazonia, an initiative led by the Brazilian environmental media outlet O Eco. O Eco journalists will initially pilot the data gathering and verification system.",InfoAmazonia beta version was launched and is already working with a network of environmental journalists in the Amazon region that gathers stories to be overlaid with data visualizations of government and NGO-sourced data.  The Pan-Amazon Communicators Network met at Rio+20and began to training reporters and editors in data journalism. InfoAmazonia has functionality to upload stories and download public datasets but not a system to collect and verify important local data such as small patches of deforestation and mining that can’t be identified by satellite. ,"Build tools that feed data into InfoAmazonia and WikiData , systems to prepare participants to gather data, and methods for editors to authenticate data. Teams work simultaneously; InfoAmazonia building the datasets via its users, OpenOil building and teaching the tools, and WikiMedia using the data in its WikiData prototype.","This data layer would fill the local data vacuum while enhancing the utility of InfoAmazonia and the data skills of journalists. The open-source tools adopted by WikiMedia enable aspiring data journalists to contribute and access verifiable data, increase local NGO’s international exposure and create a system for easy future auto-updating."
KnowLodge: Collaborate with Data,http://newschallenge.tumblr.com/post/25545756890/knowlodge-collaborate-with-data,175000,"We will establish our community’s KnowLodge, an accessible public space and supporting web platform to deliver locally-collected datasets, mash-up help, and data sharing tools.","Focused on community impact, KnowLodge will be the primary link among community advocates, non-profits, local government, and API-delivered data so that more people will create, share, and access data sets, and attempt to answer the important questions, “what are the community’s needs?” and “what are the resources?”",The data sharing culture isn’t yet entrenched. KnowLodge provides non-profit agencies and local governments the means and support to collaborate by sharing data. In this space - physical and online - we create the atmosphere of data discovery and data-driven advocacy.,"KnowLodge will work because there is growing demand for transparency and access to locally relevant data, but only incremental efforts to meet that demand. Where data is available, it is disconnected and often sector specific. KnowLodge develops and publicizes data sets important to community actors including data on housing conditions, educational achievement, access to health services, etc. Locally produced community surveys and assessments will be shared alongside data from, inter alia, the American Community Survey. KnowLodge lowers the barriers to access and collect data and reduces the difficulty of sharing. By relying on APIs and visualization models and maps, KnowLodge makes data relevant, actionable, and accessible to all.","Open Knowledge Collaborative (OKC) founder, James Quinn, is leading the KnowLodge technical development. James has consulted in information technology for more than 15 years and specializes in data design and business analysis. James has implemented high-profile websites, built complex databases, and led technical and research teams in the U.S. and abroad.OKC staff experienced in civic engagement are working with local non-profits and government to obtain constant feedback and advice. OKC is building the frame and community partners are contributing the priority content. All partners are developing plans for outreach and the long-term use of KnowLodge for data-driven decision making.","KnowLodge is in the design and early implementation phase. An assessment is underway with direct service non-profits and local government offices to identify and release the most critical datasets to include in a pilot version of the KnowLodge. This will include, for example, a comprehensive listing of human services offered in the region. Initial APIs have been developed and tested. The KnowLodge platform and databases have been designed but not yet opened for  public consumption. A search for a publicly accessible office-space for the KnowLodge is underway with the help of city officials. KnowLodge is scalable - OKC and partners will assist other communities to build their own KnowLodge.","Funds will be used to support staff during development of the KnowLodge database, APIs, and user interface. Additionally, funds will support the assessment of priority data needs, creation of visualization components, and development of OKC’s mentoring program. Finally, funds will cover half the costs of establishing the KnowLodge space as well as related visibility and marketing components.","OKC is actively seeking complementary funding from local foundations and government, state government, and private donors to sustain the small staff required to maintain the accessibility, currency, and comprehensive nature of the KnowLodge. Carefully designed incentives will encourage active involvement and current content."
